,nfl_id,esb_id,gsis_id,full_name,last_name,dob,pfr_id,first_name,height,weight,college,draft_year,draft_position,combine_forty,combine_bench_reps,combine_broad_jump,combine_shuttle,combine_cone,combine_vertical
0,2499570,BAT111777,00-0000871,Mario Bates,Bates,1973-01-16,BateMa00,Mario,73.0,217.0,Arizona St.,1994.0,44.0,,,,,,
1,2499626,BEN447808,00-0001114,Tommy Bennett,Bennett,1973-02-19,BennTo20,Tommy,74.0,219.0,UCLA,,,,,,,,
2,2502190,MOO663262,00-0011601,Rob Moore,Moore,1968-09-27,MoorRo00,Rob,75.0,203.0,Syracuse,1990.0,1.0,,,,,,
3,2502224,MOT318011,00-0011764,Mike Moten,Moten,1974-03-12,,,,,,,,,,,,,
4,2502245,MUR719159,00-0011869,Adrian Murrell,Murrell,1970-10-16,MurrAd00,Adrian,71.0,211.0,West Virginia,1993.0,120.0,,,,,,
5,2503209,SWA320232,00-0015947,Eric Swann,Swann,1970-08-16,SwanEr00,Eric,77.0,307.0,Wake Technical CC,1991.0,6.0,,,,,,
6,2503220,SWI427154,00-0015976,Rashod Swinger,Swinger,1974-11-27,SwinRa20,Rashod,74.0,286.0,Rutgers,,,,,,,,
7,2503360,TIL573494,00-0016479,Pat Tillman,Tillman,1976-11-06,TillPa20,Pat,71.0,204.0,Arizona St.,1998.0,226.0,,,,,,
8,2501544,JOY185396,00-0008950,Matt Joyce,Joyce,1972-03-30,JoycMa20,Matt,79.0,300.0,Richmond,,,,,,,,
9,2501547,JUN498348,00-0008961,Trey Junkin,Junkin,1961-01-23,JunkTr20,Trey,74.0,240.0,Louisiana Tech,1983.0,93.0,,,,,,
10,2501639,KNI750334,00-0009360,Tom Knight,Knight,1974-12-29,KnigTo20,Tom,72.0,202.0,Iowa,1997.0,9.0,,,,,,
11,2502371,OTT193802,00-0012446,Brad Ottis,Ottis,1972-08-02,OttiBr20,Brad,77.0,281.0,Wayne State (NE),1994.0,56.0,,,,,,
12,2503485,WAD800379,00-0016976,Andre Wadsworth,Wadsworth,1974-10-19,WadsAn20,Andre,76.0,278.0,Florida St.,1998.0,3.0,,,,,,
13,2503529,WAL830010,00-0017148,Zack Walz,Walz,1976-02-13,WalzZa20,Zack,76.0,228.0,Dartmouth,1998.0,158.0,,,,,,
14,2501701,LAS648660,00-0009659,Kwamie Lassiter,Lassiter,1969-12-03,LassKw20,Kwamie,72.0,207.0,Kansas,,,,,,,,
15,2503866,LUC070577,00-0018563,Justin Lucas,Lucas,1976-07-15,LucaJu20,Justin,70.0,211.0,Texas A&M,,,,,,,,
16,2501840,MAD419486,00-0010259,Mark Maddox,Maddox,1968-03-23,MaddMa20,Mark,73.0,233.0,Northern Michigan,1991.0,249.0,,,,,,
17,2501848,MAK482869,00-0010292,Joel Makovicka,Makovicka,1975-10-06,MakoJo00,Joel,71.0,246.0,Nebraska,1999.0,116.0,,,,,,
18,2502491,PIT226738,00-0013013,Michael Pittman,Pittman,1975-08-14,PittMi00,Michael,72.0,218.0,Fresno St.,1998.0,95.0,,,,,,
19,2502494,PLA800918,00-0013028,Scott Player,Player,1969-12-17,PlaySc20,Scott,73.0,213.0,Flager,,,,,,,,
20,2502499,PLU243945,00-0013042,Jake Plummer,Plummer,1974-12-19,PlumJa00,Jake,74.0,212.0,Arizona St.,1997.0,42.0,,,,,,
21,2503662,WIL133817,00-0017710,Aeneas Williams,Williams,1968-01-29,WillAe00,Aeneas,71.0,200.0,Southern,1991.0,59.0,,,,,,
22,2502639,RHI444955,00-0013623,Coby Rhinehart,Rhinehart,1977-02-07,RhinCo20,Coby,71.0,198.0,SMU,1999.0,190.0,,,,,,
