,pfr_id,last_name,first_name,height,weight,dob,college,draft_year,draft_position,combine_forty,combine_bench_reps,combine_broad_jump,combine_shuttle,combine_cone,combine_vertical,gsis_id
0,AaitIs00,Aaitui,Isaako,76,315,1987-01-25,UNLV,,,,,,,,,00-0028830
1,AbbrJa00,Abbrederis,Jared,73,195,1990-12-17,Wisconsin,2014.0,176.0,4.5,4.0,117.0,4.08,6.8,30.5,00-0031021
2,AbdeMe00,Abdesmad,Mehdi,78,284,1991-09-28,Boston Col.,,,,,,,,,00-0032860
3,AbduKa00,Abdul-Jabbar,Karim,70,194,1974-06-28,UCLA,1996.0,80.0,,,,,,,
4,AbduIs00,Abdul-Quddus,Isa,73,200,1989-08-03,Fordham,,,,,,,,,00-0028564
5,AbduAm00,Abdullah,Ameer,69,203,1993-06-13,Nebraska,2015.0,54.0,4.6,24.0,130.0,3.95,6.79,42.5,00-0032104
6,AbduHa20,Abdullah,Hamza,74,216,1983-08-20,Washington St.,2005.0,231.0,,18.0,114.0,,6.94,39.0,00-0023663
7,AbduHu99,Abdullah,Husain,72,204,1985-07-27,Washington St.,,,4.63,16.0,115.0,,7.07,32.5,00-0025940
8,AbduKh20,Abdullah,Khalid,74,227,1979-03-06,Mars Hill,2003.0,136.0,4.61,26.0,126.0,4.25,7.13,36.5,00-0021957
9,AbduRa00,Abdullah,Rabih,72,220,1975-04-27,Lehigh,,,,,,,,,00-0000007
10,AbduRa20,Abdullah,Rahim,77,233,1976-03-22,Clemson,1999.0,45.0,,,,,,,00-0000008
11,AbiaVi99,Abiamiri,Victor,76,267,1986-01-14,Notre Dame,2007.0,57.0,4.8,25.0,,,,,00-0025444
12,AbouOd00,Aboushi,Oday,77,315,1991-06-05,Virginia,2013.0,141.0,5.41,17.0,100.0,4.84,7.92,23.5,00-0030083
13,AbraDo00,Abraham,Donnie,70,190,1973-10-08,East Tennessee St.,1996.0,71.0,,,,,,,00-0000017
14,AbraJo00,Abraham,John,76,263,1978-05-06,South Carolina,2000.0,13.0,4.55,,,,,,00-0019546
15,AbraJo01,Abram,Johnathan,72,205,1996-10-25,Mississippi St.,2019.0,27.0,4.45,,116.0,,,,00-0035693
16,AbraKe20,Abrams,Kevin,68,175,1974-02-28,Syracuse,1997.0,54.0,,,,,,,00-0000025
17,AchoEm00,Acho,Emmanuel,73,238,1990-11-10,Texas,2012.0,204.0,4.64,24.0,118.0,,,35.5,00-0029428
18,AchoSa00,Acho,Sam,75,259,1988-09-06,Texas,2011.0,103.0,4.67,23.0,112.0,4.32,6.69,33.5,00-0028041
19,AckeKe00,Acker,Kenneth,72,195,1992-02-06,SMU,2014.0,180.0,,,,,,,00-0031186
20,AckeTo20,Ackerman,Tom,75,290,1972-09-06,East. Washington,1996.0,145.0,,,,,,,00-0000032
21,AdamAa00,Adams,Aaron,77,303,1989-05-16,East. Kentucky,,,,,,,,,00-0029831
22,AdamAn00,Adams,Andrew,71,200,1992-10-28,Connecticut,,,,,,,,,00-0032637
23,AdamAn20,Adams,Anthony,72,310,1980-06-18,Penn St.,2003.0,57.0,5.13,,109.0,4.59,7.68,30.5,00-0022085
24,AdamBl20,Adams,Blue,69,182,1979-10-15,Cincinnati,2003.0,220.0,,,,,,,00-0022031
25,AdamCh00,Adams,Charlie,74,190,1979-10-23,Hofstra,,,,,,,,,00-0021006
26,AdamD.00,Adams,D.J.,70,210,1990-09-27,Portland St.,,,,,,,,,00-0031115
27,AdamDa00,Adams,Darvin,75,185,1990-01-05,Auburn,,,4.56,,,,,,00-0028746
28,AdamDa01,Adams,Davante,73,215,1992-12-24,Fresno St.,2014.0,53.0,4.56,14.0,123.0,4.3,6.82,39.5,00-0031381
29,AdamFl00,Adams,Flozell,79,338,1975-05-18,Michigan St.,1998.0,38.0,,,,,,,00-0000045
30,AdamGa99,Adams,Gaines,77,258,1983-06-08,Clemson,2007.0,4.0,4.64,,119.0,4.36,7.17,35.0,00-0025391
31,AdamJa00,Adams,Jamal,73,213,1995-10-17,LSU,2017.0,6.0,4.56,18.0,120.0,4.13,6.96,31.5,00-0033872
32,AdamJa20,Adams,Jamar,74,209,1985-11-29,Michigan,,,4.59,,121.0,4.49,6.9,34.0,00-0025889
33,AdamJe00,Adams,Jeff,77,305,1989-09-06,Columbia,,,,,,,,,00-0028998
34,AdamJe01,Adams,Jerell,77,254,1992-12-31,South Carolina,2016.0,184.0,4.64,,117.0,4.31,7.05,32.5,00-0032429
35,AdamJo01,Adams,Joe,71,177,1989-11-22,Arkansas,2012.0,104.0,4.51,,123.0,,7.09,36.0,00-0029271
36,AdamJo02,Adams,Johnny,70,185,1989-06-09,Michigan St.,,,4.48,16.0,,,,,00-0030226
37,AdamJo03,Adams,Josh,74,225,1996-10-26,Notre Dame,,,,18.0,,,,,00-0034457
38,AdamKe20,Adams,Keith,71,223,1979-11-22,Clemson,2001.0,232.0,4.82,24.0,104.0,,,,00-0020488
39,AdamKe01,Adams,Kendrick,77,250,1988-11-03,LSU,,,,,,,,,00-0029047
40,AdamKr00,Adams,Kris,75,194,1987-09-04,Texas-El Paso,,,,,,,,,00-0028338
41,AdamKy00,Adams,Kyle,76,250,1988-01-19,Purdue,,,,,,,,,00-0028337
42,AdamMa00,Adams,Matthew,72,229,1995-12-12,Houston,2018.0,221.0,,,,,,,00-0034424
43,AdamMi98,Adams,Michael,68,178,1985-06-17,Louisiana,,,,,,,,,00-0025668
44,AdamMi21,Adams,Mike,71,205,1981-03-24,Delaware,,,,,,,,,00-0022247
45,AdamMi02,Adams,Mike,79,323,1990-03-10,Ohio St.,2012.0,56.0,5.28,19.0,100.0,4.95,7.94,28.5,00-0029202
46,AdamMo00,Adams,Montravius,76,304,1995-07-24,Auburn,2017.0,93.0,4.87,22.0,108.0,4.89,7.62,29.0,00-0033929
47,AdamPh00,Adams,Phillip,72,193,1988-07-20,South Carolina St.,2010.0,224.0,,,,,,,00-0027610
48,AdamRo01,Adams,Rodney,73,189,1994-09-15,South Florida,2017.0,170.0,4.44,8.0,125.0,4.28,6.98,29.5,00-0033957
49,AdamSa00,Adams,Sam,75,350,1973-06-13,Texas A&M,1994.0,8.0,,,,,,,00-0000065
50,AdamTi00,Adams,Titus,76,305,1983-01-28,Nebraska,2006.0,220.0,5.07,15.0,103.0,4.54,7.49,30.5,00-0024434
51,AdamTy00,Adams,Tyrell,74,230,1992-04-11,West Georgia,,,,,,,,,00-0032094
52,AdcoLe00,Adcock,Levy,78,324,1988-11-12,Oklahoma St.,,,,,,,,,00-0028999
53,AddaJa00,Addae,Jahleel,70,195,1990-01-24,Central Michigan,,,,,,,,,00-0030312
54,AddaJo00,Addai,Joseph,71,214,1983-05-03,LSU,2006.0,30.0,4.4,18.0,125.0,4.47,7.09,38.5,00-0024245
55,AddeNa00,Adderley,Nasir,72,206,1997-05-31,Delaware,2019.0,60.0,,,,,,,00-0035677
56,AddiBr01,Addison,Bralon,69,197,1993-10-12,Oregon,,,4.66,13.0,116.0,4.14,6.95,34.5,00-0032482
57,AddiMa00,Addison,Mario,75,260,1987-09-06,Troy,,,,,,,,,00-0028339
58,AdebQu00,Adeboyejo,Quincy,75,200,1995-05-26,Mississippi,,,4.42,8.0,123.0,4.14,6.73,34.5,00-0033366
59,AdenOl00,Adeniyi,Olasunkanmi,73,248,1997-09-12,Toledo,,,,,,,,,00-0034204
60,AdeyVi20,Adeyanju,Victor,76,270,1983-02-11,Indiana,2006.0,113.0,4.86,22.0,112.0,4.41,7.37,32.0,00-0024328
61,AdibXa99,Adibi,Xavier,74,220,1984-10-18,Virginia Tech,2008.0,118.0,4.69,,110.0,4.47,,30.0,00-0026258
62,AdjeJu00,Adjei-Barimah,Jude,71,200,1992-07-21,Bowling Green,,,,,,,,,00-0032273
63,AdkiSp99,Adkins,Spencer,71,246,1987-05-16,Miami (FL),2009.0,176.0,,,,,,,00-0027123
64,AdkiJa00,Adkisson,James,77,230,1980-01-11,South Carolina,,,,,,,,,00-0021629
65,AdonDa00,Adongo,Daniel,77,257,1989-10-12,Pretoria,,,,,,,,,00-0030583
66,AfalAl99,Afalava,Al,71,213,1987-01-20,Oregon St.,2009.0,190.0,,,,,,,00-0026936
67,AghoNe00,Agholor,Nelson,72,198,1993-05-24,USC,2015.0,20.0,4.42,12.0,,,,,00-0031549
68,AgneJa00,Agnew,Jamal,70,190,1995-04-03,San Diego,2017.0,165.0,,,,,,,00-0033572
69,AgneRa20,Agnew,Ray,75,285,1967-12-09,North Carolina St.,1990.0,10.0,,,,,,,00-0000097
70,AgneRa00,Agnew,Ray,71,242,1991-02-26,Southern Illinois,,,,,,,,,00-0030653
71,AgneVi00,Agnew,Vince,70,192,1987-12-28,Central Michigan,,,,,,,,,00-0028450
72,AguaRo00,Aguayo,Roberto,72,207,1994-05-17,Florida St.,2016.0,59.0,4.96,,,,,,00-0033102
73,AhYoC.00,Ah You,C.J.,76,265,1982-07-07,Oklahoma,2007.0,239.0,4.7,26.0,108.0,4.4,7.06,36.5,00-0025626
74,AhanCh20,Ahanotu,Chidi,74,283,1970-10-11,California,1993.0,145.0,,,,,,,00-0000100
75,AikeDa00,Aiken,Danny,76,250,1988-08-28,Virginia,,,5.0,11.0,,,,,00-0028496
76,AikeKa00,Aiken,Kamar,74,216,1989-05-30,Central Florida,,,,,,,,,00-0028497
77,AikeSa00,Aiken,Sam,74,220,1980-12-14,North Carolina,2003.0,127.0,4.59,,121.0,,7.22,39.5,00-0021915
78,AikeWa00,Aikens,Walt,73,200,1991-06-19,Liberty,2014.0,125.0,,,,,,,00-0031307
79,AikmTr00,Aikman,Troy,76,219,1966-11-21,Oklahoma,1989.0,1.0,,,,,,,00-0000104
80,AiyeVi00,Aiyewa,Victor,73,219,1987-02-04,Washington,,,,,,,,,00-0028679
81,AjayJa00,Ajayi,Jay,72,223,1993-06-15,Boise St.,2015.0,149.0,4.57,19.0,121.0,4.1,7.1,39.0,00-0031590
82,AjirSe00,Ajirotutu,Seyi,75,211,1987-06-12,Fresno St.,,,4.6,14.0,115.0,4.39,7.22,36.0,00-0027581
83,AkbaHa20,Akbar,Hakim,72,222,1980-08-11,Washington,2001.0,163.0,4.55,,,,,,00-0020330
84,AkinFr01,Akinmoladun,Freedom,75,284,1996-02-11,,,,,,,,,,00-0035600
85,AkinCh20,Akins,Chris,71,200,1976-11-29,Arkansas,1999.0,212.0,,,,,,,00-0000112
86,AkinJo00,Akins,Jordan,76,243,1992-04-19,Central Florida,2018.0,98.0,,,,,,,00-0034364
